שאלה בשפה חופשית,
ילדים בסיכון פעילות אחר הצהריים,https://www.kolsherut.org.il/at_risk_children?sq=%D7%99%D7%9C%D7%93%D7%99%D7%9D_%D7%91%D7%A1%D7%99%D7%9B%D7%95%D7%9F&rf=%5B%22human_services%3Aeducation%3Aafterschool_care%22%2C%22human_services%3Aeducation%3Amore_education%22%5D
לאן פונים שקורסים כלכלית ולא מצליחים לסגור את החובות ואת החודש,https://www.kolsherut.org.il/low_income
מסגרת לנער אוטיסט בתפקוד גבוה,https://www.kolsherut.org.il/autistic_spectrum?sq=%D7%90%D7%95%D7%98%D7%99%D7%A1%D7%98%D7%99%D7%9D&sf=%5B%22human_situations%3Aage_group%3Ateens%22%2C%22human_situations%3Aage_group%3Achildren%22%5D&rf=%5B%22human_services%3Acare%3Adaytime_care%22%5D
מסגרת דיור למתמודדי נפש,https://www.kolsherut.org.il/mental_illness/housing?sq=%D7%93%D7%99%D7%95%D7%A8_%D7%A2%D7%91%D7%95%D7%A8_%D7%9E%D7%AA%D7%9E%D7%95%D7%93%D7%93%D7%99_%D7%A0%D7%A4%D7%A9
מיצוי זכויות לחולים,https://www.kolsherut.org.il/health/understand_government_programs?sq=%D7%9E%D7%99%D7%A6%D7%95%D7%99_%D7%96%D7%9B%D7%95%D7%99%D7%95%D7%AA_%D7%A2%D7%91%D7%95%D7%A8_%D7%9E%D7%A6%D7%91%D7%99%D7%9D_%D7%91%D7%A8%D7%99%D7%90%D7%95%D7%AA%D7%99%D7%99%D7%9D
מה הטלפון הישיר של מרכז עוצמה,https://www.kolsherut.org.il/bsnf-%D7%9E%D7%A8%D7%9B%D7%96%20%D7%A2%D7%95%D7%A6%D7%9E%D7%94?sq=%D7%9E%D7%A8%D7%9B%D7%96_%D7%A2%D7%95%D7%A6%D7%9E%D7%94
עזרה במיצוי זכויות של פנסיונרים,https://www.kolsherut.org.il/understand_government_programs?sq=%D7%9E%D7%99%D7%A6%D7%95%D7%99_%D7%96%D7%9B%D7%95%D7%99%D7%95%D7%AA_%D7%A2%D7%91%D7%95%D7%A8_%D7%9E%D7%A6%D7%91%D7%99%D7%9D_%D7%91%D7%A8%D7%99%D7%90%D7%95%D7%AA%D7%99%D7%99%D7%9D&sf=%5B%22human_situations%3Aage_group%3Aseniors%22%5D
תור לבדיקת שמיעה,https://www.kolsherut.org.il/health?sq=%D7%9E%D7%99%D7%A6%D7%95%D7%99_%D7%96%D7%9B%D7%95%D7%99%D7%95%D7%AA_%D7%A2%D7%91%D7%95%D7%A8_%D7%9E%D7%A6%D7%91%D7%99%D7%9D_%D7%91%D7%A8%D7%99%D7%90%D7%95%D7%AA%D7%99%D7%99%D7%9D&sf=%5B%22human_situations%3Adisability%3Adeaf_or_hard_of_hearing%22%5D
אוכל למשפחה מעוטת אמצעים,https://www.kolsherut.org.il/low_income/food?sq=%D7%9E%D7%96%D7%95%D7%9F_%D7%A2%D7%91%D7%95%D7%A8_%D7%91%D7%A2%D7%9C%D7%99_%D7%94%D7%9B%D7%A0%D7%A1%D7%94_%D7%A0%D7%9E%D7%95%D7%9B%D7%94
